_id_x,Location_id,time,precipitation_sum (mm),_id_y,Lat,Lon
652fe077f3c7661538eba29d,90,27/09/2023,9.6,652fe06ef3c7661538eae2db,16.15487468,108.2531082
652fe077f3c7661538eba29e,90,28/09/2023,9.2,652fe06ef3c7661538eae2db,16.15487468,108.2531082
652fe077f3c7661538eba29f,90,29/09/2023,13.2,652fe06ef3c7661538eae2db,16.15487468,108.2531082
652fe077f3c7661538eba2a0,90,30/09/2023,4.1,652fe06ef3c7661538eae2db,16.15487468,108.2531082
652fe077f3c7661538eba2a1,91,25/09/2023,73.1,652fe06ef3c7661538eae2dc,16.15487468,108.2533911
652fe077f3c7661538eba2a2,91,26/09/2023,2.1,652fe06ef3c7661538eae2dc,16.15487468,108.2533911
652fe077f3c7661538eba2a3,91,27/09/2023,9.6,652fe06ef3c7661538eae2dc,16.15487468,108.2533911
652fe077f3c7661538eba2a4,91,28/09/2023,9.2,652fe06ef3c7661538eae2dc,16.15487468,108.2533911
652fe077f3c7661538eba2a5,91,29/09/2023,13.2,652fe06ef3c7661538eae2dc,16.15487468,108.2533911
652fe077f3c7661538eba2a6,91,30/09/2023,4.1,652fe06ef3c7661538eae2dc,16.15487468,108.2533911
652fe077f3c7661538eba2a7,92,25/09/2023,73.1,652fe06ef3c7661538eae2dd,16.15487468,108.253674
652fe077f3c7661538eba2a8,92,26/09/2023,2.1,652fe06ef3c7661538eae2dd,16.15487468,108.253674
652fe077f3c7661538eba2a9,92,27/09/2023,9.6,652fe06ef3c7661538eae2dd,16.15487468,108.253674
652fe077f3c7661538eba2aa,92,28/09/2023,9.2,652fe06ef3c7661538eae2dd,16.15487468,108.253674
652fe077f3c7661538eba2ab,92,29/09/2023,13.2,652fe06ef3c7661538eae2dd,16.15487468,108.253674
652fe077f3c7661538eba2ac,92,30/09/2023,4.1,652fe06ef3c7661538eae2dd,16.15487468,108.253674
652fe077f3c7661538eba2ad,93,25/09/2023,73.1,652fe06ef3c7661538eae2de,16.15487468,108.2539569
652fe077f3c7661538eba2ae,93,26/09/2023,2.1,652fe06ef3c7661538eae2de,16.15487468,108.2539569
652fe077f3c7661538eba2af,93,27/09/2023,9.6,652fe06ef3c7661538eae2de,16.15487468,108.2539569
652fe077f3c7661538eba2b0,93,28/09/2023,9.2,652fe06ef3c7661538eae2de,16.15487468,108.2539569
652fe077f3c7661538eba2b1,93,29/09/2023,13.2,652fe06ef3c7661538eae2de,16.15487468,108.2539569
652fe077f3c7661538eba2b2,93,30/09/2023,4.1,652fe06ef3c7661538eae2de,16.15487468,108.2539569
652fe077f3c7661538eba2b3,94,25/09/2023,73.1,652fe06ef3c7661538eae2df,16.15487468,108.2542398
652fe077f3c7661538eba2b4,94,26/09/2023,2.1,652fe06ef3c7661538eae2df,16.15487468,108.2542398
652fe077f3c7661538eba2b5,94,27/09/2023,9.6,652fe06ef3c7661538eae2df,16.15487468,108.2542398
652fe077f3c7661538eba2b6,94,28/09/2023,9.2,652fe06ef3c7661538eae2df,16.15487468,108.2542398
652fe077f3c7661538eba2b7,94,29/09/2023,13.2,652fe06ef3c7661538eae2df,16.15487468,108.2542398
652fe077f3c7661538eba2b8,94,30/09/2023,4.1,652fe06ef3c7661538eae2df,16.15487468,108.2542398
652fe077f3c7661538eba2b9,95,25/09/2023,73.1,652fe06ef3c7661538eae2e0,16.15487468,108.2545227
652fe077f3c7661538eba2ba,95,26/09/2023,2.1,652fe06ef3c7661538eae2e0,16.15487468,108.2545227
652fe077f3c7661538eba2bb,95,27/09/2023,9.6,652fe06ef3c7661538eae2e0,16.15487468,108.2545227
652fe077f3c7661538eba2bc,95,28/09/2023,9.2,652fe06ef3c7661538eae2e0,16.15487468,108.2545227
652fe077f3c7661538eba2bd,95,29/09/2023,13.2,652fe06ef3c7661538eae2e0,16.15487468,108.2545227
652fe077f3c7661538eba2be,95,30/09/2023,4.1,652fe06ef3c7661538eae2e0,16.15487468,108.2545227
652fe077f3c7661538eba2bf,96,25/09/2023,73.1,652fe06ef3c7661538eae2e1,16.15487468,108.2548055
652fe077f3c7661538eba2c0,96,26/09/2023,2.1,652fe06ef3c7661538eae2e1,16.15487468,108.2548055
652fe077f3c7661538eba2c1,96,27/09/2023,9.6,652fe06ef3c7661538eae2e1,16.15487468,108.2548055
652fe077f3c7661538eba2c2,96,28/09/2023,9.2,652fe06ef3c7661538eae2e1,16.15487468,108.2548055
652fe077f3c7661538eba2c3,96,29/09/2023,13.2,652fe06ef3c7661538eae2e1,16.15487468,108.2548055
652fe077f3c7661538eba2c4,96,30/09/2023,4.1,652fe06ef3c7661538eae2e1,16.15487468,108.2548055
652fe077f3c7661538eba2c5,97,25/09/2023,73.1,652fe06ef3c7661538eae2e2,16.15487468,108.2550884
652fe077f3c7661538eba2c6,97,26/09/2023,2.1,652fe06ef3c7661538eae2e2,16.15487468,108.2550884
652fe077f3c7661538eba2c7,97,27/09/2023,9.6,652fe06ef3c7661538eae2e2,16.15487468,108.2550884
652fe077f3c7661538eba2c8,97,28/09/2023,9.2,652fe06ef3c7661538eae2e2,16.15487468,108.2550884
652fe077f3c7661538eba2c9,97,29/09/2023,13.2,652fe06ef3c7661538eae2e2,16.15487468,108.2550884
652fe077f3c7661538eba2ca,97,30/09/2023,4.1,652fe06ef3c7661538eae2e2,16.15487468,108.2550884
652fe077f3c7661538eba2cb,98,25/09/2023,73.1,652fe06ef3c7661538eae2e3,16.15487468,108.2553713
652fe077f3c7661538eba2cc,98,26/09/2023,2.1,652fe06ef3c7661538eae2e3,16.15487468,108.2553713
652fe077f3c7661538eba2cd,98,27/09/2023,9.6,652fe06ef3c7661538eae2e3,16.15487468,108.2553713
652fe077f3c7661538eba2ce,98,28/09/2023,9.2,652fe06ef3c7661538eae2e3,16.15487468,108.2553713
652fe077f3c7661538eba2cf,98,29/09/2023,13.2,652fe06ef3c7661538eae2e3,16.15487468,108.2553713
652fe077f3c7661538eba2d0,98,30/09/2023,4.1,652fe06ef3c7661538eae2e3,16.15487468,108.2553713
652fe077f3c7661538eba2d1,99,25/09/2023,73.1,652fe06ef3c7661538eae2e4,16.15487468,108.2556542
652fe077f3c7661538eba2d2,99,26/09/2023,2.1,652fe06ef3c7661538eae2e4,16.15487468,108.2556542
652fe077f3c7661538eba2d3,99,27/09/2023,9.6,652fe06ef3c7661538eae2e4,16.15487468,108.2556542
652fe077f3c7661538eba2d4,99,28/09/2023,9.2,652fe06ef3c7661538eae2e4,16.15487468,108.2556542
652fe077f3c7661538eba2d5,99,29/09/2023,13.2,652fe06ef3c7661538eae2e4,16.15487468,108.2556542
652fe077f3c7661538eba2d6,99,30/09/2023,4.1,652fe06ef3c7661538eae2e4,16.15487468,108.2556542
652fe077f3c7661538eba2d7,100,25/09/2023,73.1,652fe06ef3c7661538eae2e5,16.1546093,108.2471676
652fe077f3c7661538eba2d8,100,26/09/2023,2.1,652fe06ef3c7661538eae2e5,16.1546093,108.2471676
652fe077f3c7661538eba2d9,100,27/09/2023,9.6,652fe06ef3c7661538eae2e5,16.1546093,108.2471676
652fe077f3c7661538eba2da,100,28/09/2023,9.2,652fe06ef3c7661538eae2e5,16.1546093,108.2471676
652fe077f3c7661538eba2db,100,29/09/2023,13.2,652fe06ef3c7661538eae2e5,16.1546093,108.2471676
652fe077f3c7661538eba2dc,100,30/09/2023,4.1,652fe06ef3c7661538eae2e5,16.1546093,108.2471676
652fe077f3c7661538eba2dd,101,25/09/2023,73.1,652fe06ef3c7661538eae2e6,16.1546093,108.2474505
652fe077f3c7661538eba2de,101,26/09/2023,2.1,652fe06ef3c7661538eae2e6,16.1546093,108.2474505
652fe077f3c7661538eba2df,101,27/09/2023,9.6,652fe06ef3c7661538eae2e6,16.1546093,108.2474505
652fe077f3c7661538eba2e0,101,28/09/2023,9.2,652fe06ef3c7661538eae2e6,16.1546093,108.2474505
652fe077f3c7661538eba2e1,101,29/09/2023,13.2,652fe06ef3c7661538eae2e6,16.1546093,108.2474505
652fe077f3c7661538eba2e2,101,30/09/2023,4.1,652fe06ef3c7661538eae2e6,16.1546093,108.2474505
652fe077f3c7661538eba2e3,102,25/09/2023,73.1,652fe06ef3c7661538eae2e7,16.1546093,108.2477334
652fe077f3c7661538eba2e4,102,26/09/2023,2.1,652fe06ef3c7661538eae2e7,16.1546093,108.2477334
652fe077f3c7661538eba2e5,102,27/09/2023,9.6,652fe06ef3c7661538eae2e7,16.1546093,108.2477334
652fe077f3c7661538eba2e6,102,28/09/2023,9.2,652fe06ef3c7661538eae2e7,16.1546093,108.2477334
652fe077f3c7661538eba2e7,102,29/09/2023,13.2,652fe06ef3c7661538eae2e7,16.1546093,108.2477334
652fe077f3c7661538eba2e8,102,30/09/2023,4.1,652fe06ef3c7661538eae2e7,16.1546093,108.2477334
652fe077f3c7661538eba2e9,103,25/09/2023,73.1,652fe06ef3c7661538eae2e8,16.1546093,108.2480162
652fe077f3c7661538eba2ea,103,26/09/2023,2.1,652fe06ef3c7661538eae2e8,16.1546093,108.2480162
652fe077f3c7661538eba2eb,103,27/09/2023,9.6,652fe06ef3c7661538eae2e8,16.1546093,108.2480162
652fe077f3c7661538eba2ec,103,28/09/2023,9.2,652fe06ef3c7661538eae2e8,16.1546093,108.2480162
652fe077f3c7661538eba2ed,103,29/09/2023,13.2,652fe06ef3c7661538eae2e8,16.1546093,108.2480162
652fe077f3c7661538eba2ee,103,30/09/2023,4.1,652fe06ef3c7661538eae2e8,16.1546093,108.2480162
652fe077f3c7661538eba2ef,104,25/09/2023,73.1,652fe06ef3c7661538eae2e9,16.1546093,108.2482991
652fe077f3c7661538eba2f0,104,26/09/2023,2.1,652fe06ef3c7661538eae2e9,16.1546093,108.2482991
652fe077f3c7661538eba2f1,104,27/09/2023,9.6,652fe06ef3c7661538eae2e9,16.1546093,108.2482991
652fe077f3c7661538eba2f2,104,28/09/2023,9.2,652fe06ef3c7661538eae2e9,16.1546093,108.2482991
652fe077f3c7661538eba2f3,104,29/09/2023,13.2,652fe06ef3c7661538eae2e9,16.1546093,108.2482991
652fe077f3c7661538eba2f4,104,30/09/2023,4.1,652fe06ef3c7661538eae2e9,16.1546093,108.2482991
652fe077f3c7661538eba2f5,105,25/09/2023,73.1,652fe06ef3c7661538eae2ea,16.1546093,108.248582
652fe077f3c7661538eba2f6,105,26/09/2023,2.1,652fe06ef3c7661538eae2ea,16.1546093,108.248582
